くまのん,,,6058,名詞,固有名詞,人名,名,*,*,くまのん,クマノン,クマノン
れてぃあ,,,6058,名詞,固有名詞,人名,名,*,*,れてぃあ,レティア,レティア
にっく,,,6058,名詞,固有名詞,人名,名,*,*,にっく,ニック,ニック
おーかみ,,,6058,名詞,固有名詞,人名,名,*,*,おーかみ,オーカミ,オーカミ
たかりゃん,,,6058,名詞,固有名詞,人名,名,*,*,たかりゃん,タカリャン,タカリャン
ヨツジ,,,6058,名詞,固有名詞,人名,名,*,*,よつじ,ヨツジ,ヨツジ
うやわー,,,6058,名詞,固有名詞,人名,名,*,*,うやわー,ウヤワー,ウヤワー
まおー,,,6058,名詞,固有名詞,人名,名,*,*,まおー,マオー,マオー
エダ,,,6058,名詞,固有名詞,人名,名,*,*,エダ,エダ,エダ
えだ,,,6058,名詞,固有名詞,人名,名,*,*,えだ,エダ,エダ
てぇい,,,6058,名詞,固有名詞,人名,名,*,*,てぇい,テェイ,テェイ
てぃ,,,6058,名詞,固有名詞,人名,名,*,*,てぇい,ティ,ティ
はなまき,,,6058,名詞,固有名詞,人名,名,*,*,はなまき,ハナマキ,ハナマキ
むく,,,6058,名詞,固有名詞,人名,名,*,*,むく,ムク,ムク
でろこ,,,6058,名詞,固有名詞,人名,名,*,*,でろこ,デロコ,デロコ
すみす,,,6058,名詞,固有名詞,人名,名,*,*,すみす,スミス,スミス
こっぱ,,,6058,名詞,固有名詞,人名,名,*,*,こっぱ,コッパ,コッパ
はいど,,,6058,名詞,固有名詞,人名,名,*,*,はいど,ハイド,ハイド
ゆうは,,,6058,名詞,固有名詞,人名,名,*,*,ゆうは,ユウハ,ユウハ
